Code	Description	Class1	Class2	Class3
b263.	*HYDROSALURIC 25mg tablets	thiazide_diuretic		
b264.	*HYDROSALURIC 50mg tablets	thiazide_diuretic		
b27 z.	HYDROFLUMETHIAZIDE 50mg tablets	thiazide_diuretic		
b27..	HYDROFLUMETHIAZIDE	thiazide_diuretic		
b271.	*HYDRENOX 50mg tablets	thiazide_diuretic		
b28 z.	INDAPAMIDE 2.5mg tablets	thiazide_diuretic		
b28..	INDAPAMIDE	thiazide_diuretic		
b281.	NATRILIX 2.5mg tablets	thiazide_diuretic		
b282.	*NINDAXA 2.5mg tablets	thiazide_diuretic		
b283.	*NATRAMID 2.5mg tablets	thiazide_diuretic		
b284.	*OPUMIDE 2.5mg tablets	thiazide_diuretic		
b285.	INDAPAMIDE 1.5mg m/r tablets	thiazide_diuretic		
b286.	NATRILIX SR 1.5mg m/r tablets	thiazide_diuretic		
b287.	ETHIBIDE XL 1.5mg m/r tablets	thiazide_diuretic		
b288.	INDIPAM XL 1.5mg m/r tablets	thiazide_diuretic		
b289.	MAPEMID XL 1.5mg m/r tablets	thiazide_diuretic		
b2a z.	*METHYCLOTHIAZIDE 5mg tablets	thiazide_diuretic		
b2a..	*METHYCLOTHIAZIDE	thiazide_diuretic		
b2a1.	*ENDURON 5mg tablets	thiazide_diuretic		
b2b z.	*METOLAZONE 5mg tablets	thiazide_diuretic		
b2b..	METOLAZONE	thiazide_diuretic		
b2b1.	*METENIX-5 5mg tablets	thiazide_diuretic		
b2b2.	*XURET 500micrograms tablets	thiazide_diuretic		
b2b3.	METOLAZONE 500micrograms tablets	thiazide_diuretic		
b2c z.	*POLYTHIAZIDE 1mg tablets	thiazide_diuretic		
b2c..	POLYTHIAZIDE	thiazide_diuretic		
b2c1.	*NEPHRIL 1mg tablets	thiazide_diuretic		
b51 a.	MODURET-25 tablets	thiazide_diuretic		
b51 b.	MODURETIC tablets	thiazide_diuretic		
b51 c.	*MODURETIC mixture	thiazide_diuretic		
b51 e.	*SYNURETIC tablets	thiazide_diuretic		
b51 f.	*TRIAMCO tablets	thiazide_diuretic		
b51 g.	*HYPERTANE-50 tablets	thiazide_diuretic		
b51 j.	CO-AMILOZIDE 2.5/25mg tablets	thiazide_diuretic		
b51 k.	CO-AMILOZIDE 5/50mg tablets	thiazide_diuretic		
b51 l.	CO-AMILOZIDE 5mg/50mg/5mL mixture	thiazide_diuretic		
b51 m.	VASETIC CO-AMILOZIDE 5/50mg tablets	thiazide_diuretic		
b51 p.	CO-FLUMACTONE-25 tablets	thiazide_diuretic		
b51 q.	CO-FLUMACTONE-50 tablets	thiazide_diuretic		
b51 r.	NAVISPARE 2.5/0.25mg tablets	thiazide_diuretic		
b51 s.	*AMILMAXCO 5/50 tablets	thiazide_diuretic		
b51 v.	*TRIAMAXCO 50/25mg tablets	thiazide_diuretic		
b51 w.	*KALSPARE LS tablets	thiazide_diuretic		
b511.	ALDACTIDE-25 tablets	thiazide_diuretic		
b512.	ALDACTIDE-50 tablets	thiazide_diuretic		
b513.	*AMILCO tablets	thiazide_diuretic		
b514.	DYAZIDE tablets	thiazide_diuretic		
b515.	*DYTIDE capsules	thiazide_diuretic		
b518.	KALSPARE tablets	thiazide_diuretic		
b51A.	CO-TRIAMTERZIDE 50/25mg tablets	thiazide_diuretic		
b51C.	AMILORIDE HCL+CYCLOPENTHIAZIDE 2.5mg/250micrograms tablets	thiazide_diuretic		
b51E.	TRIAMTERENE+BENZTHIAZIDE 50mg/25mg capsules	thiazide_diuretic		
b51F.	TRIAMTERENE+CHLORTHALIDONE 50mg/25mg tablets	thiazide_diuretic		
b51G.	TRIAMTERENE+CHLORTALIDONE 50mg/50mg tablets	thiazide_diuretic		
b51K.	*DELVAS tablets	thiazide_diuretic		
b51Q.	*ZIDA-CO 5mg/50mg tablets	thiazide_diuretic		
b91 a.	NEO-NACLEX-K tablets	thiazide_diuretic		
b91 c.	BENDROFLUMETHIAZIDE+POTASSIUM 2.5mg/7.7mmol m/r tablets	thiazide_diuretic		
b91 e.	CHLORTHALIDONE tablets+POTASSIUM m/r tablets 25mg/6.7mmol pack	thiazide_diuretic		
b91 h.	BENDROFLUMETHIAZIDE+POTASSIUM 2.5mg/8.4mmol m/r tablets	thiazide_diuretic		
b913.	*CENTYL K m/r tablets	thiazide_diuretic		
b915.	*ESIDREX K tablets	thiazide_diuretic		
b916.	HYGROTON K tablets combination pack	thiazide_diuretic		
b919.	*NAVIDREX-K tablets	thiazide_diuretic		
bA...	CALCIUM-CHANNEL BLOCKER+ANGIOTENSIN-CONVERTING ENZYME INHIBITOR	ace_inhibitor	calcium_channel_blocker	
bA1 y.	FELODIPINE+RAMIPRIL 2.5mg/2.5mg tablets	ace_inhibitor	calcium_channel_blocker	
bA1 z.	FELODIPINE+RAMIPRIL 5mg/5mg tablets	ace_inhibitor	calcium_channel_blocker	
bA1..	FELODIPINE+RAMIPRIL	ace_inhibitor	calcium_channel_blocker	
bA11.	TRIAPIN MITE 2.5mg/2.5mg tablets	ace_inhibitor	calcium_channel_blocker	
bA12.	TRIAPIN 5mg/5mg tablets	ace_inhibitor	calcium_channel_blocker	
bb3 a.	CORDILOX 120mg tablets	calcium_channel_blocker		
bb3 b.	*CORDILOX 160mg tablets	calcium_channel_blocker		
bb3 c.	*CORDILOX 5mg/2mL injection	calcium_channel_blocker		
bb3 d.	*SECURON 40mg tablets	calcium_channel_blocker		
bb3 e.	*SECURON 80mg tablets	calcium_channel_blocker		
bb3 f.	*SECURON 120mg tablets	calcium_channel_blocker		
bb3 g.	*SECURON 120mg tablets 56CP	calcium_channel_blocker		
bb3 h.	*SECURON 160mg tablets 56CP	calcium_channel_blocker		
bb3 i.	*SECURON 160mg tablets	calcium_channel_blocker		
bb3 j.	SECURON SR 240mg m/r tablets	calcium_channel_blocker		
bb3 k.	SECURON SR 240mg m/r tablets 28CP	calcium_channel_blocker		
bb3 l.	UNIVER 120mg m/r capsules x28	calcium_channel_blocker		
bb3 m.	UNIVER 180mg m/r capsules x56	calcium_channel_blocker		
bb3 n.	UNIVER 240mg m/r capsules x28	calcium_channel_blocker		
bb3 o.	SECURON IV 5mg/2mL injection	calcium_channel_blocker		
bb3 p.	*GEANGIN 40mg tablets	calcium_channel_blocker		
bb3 q.	*GEANGIN 80mg tablets	calcium_channel_blocker		
bb3 r.	*GEANGIN 120mg tablets	calcium_channel_blocker		
bb3 s.	VERTAB SR 240 m/r tablets	calcium_channel_blocker		
bb3 t.	VERAPAMIL 5mg/2mL injection	calcium_channel_blocker		
bb3 v.	VERAPAMIL 120mg m/r capsules	calcium_channel_blocker		
bb3 w.	VERAPAMIL 160mg tablets	calcium_channel_blocker		
bb3 x.	VERPAMIL HCL 120mg tablets x56	calcium_channel_blocker		
bb3 y.	VERAPAMIL 240mg m/r capsules	calcium_channel_blocker		
bb3 z.	VERAPAMIL 180mg m/r capsules	calcium_channel_blocker		
bb3..	VERAPAMIL HYDROCHLORIDE	calcium_channel_blocker		
bb31.	VERAPAMIL 40mg tablets	calcium_channel_blocker		
bb32.	VERAPAMIL 80mg tablets	calcium_channel_blocker		
bb33.	VERAPAMIL 120mg tablets	calcium_channel_blocker		
bb34.	*BERKATENS 40mg tablets	calcium_channel_blocker		
bb35.	*BERKATENS 80mg tablets	calcium_channel_blocker		
bb36.	*BERKATENS 120mg tablets	calcium_channel_blocker		
bb37.	*BERKATENS 160mg tablets	calcium_channel_blocker		
bb38.	*CORDILOX 40mg tablets	calcium_channel_blocker		
bb39.	*CORDILOX 80mg tablets	calcium_channel_blocker		
bb3A.	VERAPAMIL 240mg m/r tablets	calcium_channel_blocker		
bb3B.	HALF SECURON SR 120mg m/r tablets	calcium_channel_blocker		
bb3C.	VERAPAMIL 120mg m/r tablets	calcium_channel_blocker		
bb3D.	VERAPAMIL 40mg/5mL sugar free solution	calcium_channel_blocker		
bb3E.	VERAPAMIL HCL 5mg/2mL prefilled syringe	calcium_channel_blocker		
bb3F.	HALF-SECURON SR 120mg m/r tablets 28CP	calcium_channel_blocker		
bb3G.	*HYPANEZE 40 tablets	calcium_channel_blocker		
bb3H.	*HYPANEZE 80 tablets	calcium_channel_blocker		
bb3J.	*HYPANEZE 120 tablets	calcium_channel_blocker		
bb3K.	*VERAPRESS MR 240 m/r tablets	calcium_channel_blocker		
bb3L.	*ETHIMIL MR 240 m/r tablets	calcium_channel_blocker		
bb3M.	CORDILOX MR 240 m/r tablets	calcium_channel_blocker		
bb3N.	ZOLVERA 40mg/5mL oral solution	calcium_channel_blocker		
bb3O.	*RANVERA MR 240mg m/r tablets	calcium_channel_blocker		
bb3P.	VERA-TIL SR 240mg m/r tablets	calcium_channel_blocker		
bb3Q.	VERA-TIL SR 120mg m/r tablets	calcium_channel_blocker		
bc7 z.	*PRACTOLOL 10mg/5mL injection	beta_blocker		
bc7..	*PRACTOLOL [ANTIARRHYTHMIC]	beta_blocker		
bc71.	*ERALDIN 10mg/5mL injection	beta_blocker		
bd...	BETA-ADRENOCEPTOR BLOCKERS	beta_blocker		
bd1 a.	*APSOLOL 40mg tablets	beta_blocker		
bd1 b.	*APSOLOL 80mg tablets	beta_blocker		
bd1 c.	*APSOLOL 160mg tablets	beta_blocker		
bd1 d.	*BEDRANOL 10mg tablets	beta_blocker		
bd1 e.	*BEDRANOL 40mg tablets	beta_blocker		
bd1 f.	*BEDRANOL 80mg tablets	beta_blocker		
bd1 g.	BEDRANOL SR 160mg m/r capsules	beta_blocker		
bd1 h.	*BERKOLOL 10mg tablets	beta_blocker		
bd1 i.	*BERKOLOL 40mg tablets	beta_blocker		
bd1 j.	*BERKOLOL 80mg tablets	beta_blocker		
bd1 k.	*BERKOLOL 160mg tablets	beta_blocker		
bd1 l.	HALF-INDERAL LA 80mg m/r capsules	beta_blocker		
bd1 m.	*INDERAL 10mg tablets	beta_blocker		
bd1 n.	*INDERAL 40mg tablets	beta_blocker		
bd1 o.	*INDERAL 80mg tablets	beta_blocker		
bd1 p.	*INDERAL 160mg tablets	beta_blocker		
bd1 q.	*INDERAL 1mg/1mL injection	beta_blocker		
bd1 r.	*INDERAL-LA 160mg m/r capsules	beta_blocker		
bd1 s.	*SLOPROLOL 160mg m/r capsules	beta_blocker		
bd1 t.	*CARDINOL 10mg tablets	beta_blocker		
bd1 u.	*CARDINOL 40mg tablets	beta_blocker		
bd1 v.	*CARDINOL 80mg tablets	beta_blocker		
bd1 w.	*CARDINOL 160mg tablets	beta_blocker		
bd1 x.	PROPRANOLOL 160mg m/r capsules	beta_blocker		
bd1 y.	PROPRANOLOL 80mg m/r capsules	beta_blocker		
bd1 z.	SYPROL 10mg/5mL oral solution	beta_blocker		
bd1..	PROPRANOLOL HYDROCHLORIDE	beta_blocker		
bd11.	PROPRANOLOL 10mg tablets	beta_blocker		
bd12.	PROPRANOLOL 40mg tablets	beta_blocker		
bd13.	PROPRANOLOL 80mg tablets	beta_blocker		
bd14.	PROPRANOLOL 160mg tablets	beta_blocker		
bd15.	*ANGILOL 10mg tablets	beta_blocker		
bd16.	*ANGILOL 40mg tablets	beta_blocker		
bd17.	*ANGILOL 80mg tablets	beta_blocker		
bd18.	*ANGILOL 160mg tablets	beta_blocker		
bd19.	*APSOLOL 10mg tablets	beta_blocker		
bd1A.	*PROPANIX 10mg tablets	beta_blocker		
bd1B.	*PROPANIX 40mg tablets	beta_blocker		
bd1C.	*PROPANIX 80mg tablets	beta_blocker		
bd1D.	*PROPANIX 160mg tablets	beta_blocker		
bd1E.	PROPANIX SR 160mg m/r capsules	beta_blocker		
bd1F.	*BETADUR CR 160mg m/r tablets	beta_blocker		
bd1G.	BETA-PROGRANE 160mg m/r capsules	beta_blocker		
bd1H.	PROPRANOLOL 1mg/1mL injection	beta_blocker		
bd1I.	PROPRANOLOL 5mg/5mL syrup	beta_blocker		
bd1J.	PROPRANOLOL 50mg/5mL syrup	beta_blocker		
bd1K.	HALF-BETADUR CR 80mg m/r capsules	beta_blocker		
bd1L.	HALF BETA-PROGRANE 80mg m/r capsules	beta_blocker		
bd1M.	*SLOPROLOL 80mg m/r capsules	beta_blocker		
bd1N.	*PROBETA LA 160mg m/r capsules	beta_blocker		
bd1O.	LOPRANOL LA 160mg m/r capsules	beta_blocker		
bd1P.	PROPRANOLOL HYDROCHLORIDE 10mg/5mL syrup	beta_blocker		
bd1Q.	PROPRANOLOL HYDROCHLORIDE 40mg/5mL syrup	beta_blocker		
bd1R.	PROPRANOLOL HYDROCHLORIDE 80mg/5mL syrup	beta_blocker		
bd1S.	HALF PROPANIX LA 80mg m/r capsules	beta_blocker		
bd1T.	PROPANIX LA 160mg m/r capsules	beta_blocker		
bd1U.	HALF PROPATARD LA 80mg m/r capsules	beta_blocker		
bd1V.	PROPATARD LA 160mg m/r capsules	beta_blocker		
bd1W.	PROPRANOLOL HYDROCHLORIDE 5mg/5mL sugar free oral solution	beta_blocker		
bd1X.	PROPRANOLOL HYDROCHLORIDE 10mg/5mL sugar free oral solution	beta_blocker		
bd1Y.	PROPRANOLOL HYDROCHLORIDE 50mg/5mL sugar free oral solution	beta_blocker		
bd1Z.	SYPROL 5mg/5mL oral solution	beta_blocker		
bd2 w.	ACEBUTOLOL 100mg capsules	beta_blocker		
bd2 x.	ACEBUTOLOL 200mg capsules	beta_blocker		
bd2 y.	ACEBUTOLOL 400mg tablets	beta_blocker		
bd2 z.	*ACEBUTOLOL 10mg/2mL injection	beta_blocker		
bd2..	ACEBUTOLOL	beta_blocker		
bd21.	SECTRAL 100mg capsules	beta_blocker		
bd22.	SECTRAL 200mg capsules	beta_blocker		
bd23.	SECTRAL 400mg tablets	beta_blocker		
bd24.	*SECTRAL 10mg/2mL injection	beta_blocker		
bd3 a.	*ANTIPRESSAN 50mg tablets	beta_blocker		
bd3 b.	*ANTIPRESSAN 100mg tablets	beta_blocker		
bd3 c.	*TENORMIN 25 tablets	beta_blocker		
bd3 d.	*VASATEN 50mg tablets	beta_blocker		
bd3 e.	*VASATEN 100mg tablets	beta_blocker		
bd3 f.	ATENIX 50mg tablets	beta_blocker		
bd3 g.	ATENIX 100mg tablets	beta_blocker		
bd3 h.	*TOTAMOL 50mg tablets	beta_blocker		
bd3 i.	*TOTAMOL 100mg tablets	beta_blocker		
bd3 j.	ATENOLOL 25mg tablets	beta_blocker		
bd3 k.	*TOTAMOL 25mg tablets	beta_blocker		
bd3 l.	*ANTIPRESSAN 25mg tablets	beta_blocker		
bd3 x.	ATENOLOL 25mg/5mL syrup	beta_blocker		
bd3 y.	ATENOLOL 5mg/10mL injection	beta_blocker		
bd3 z.	ATENIX 25mg tablets	beta_blocker		
bd3..	ATENOLOL	beta_blocker		
bd31.	TENORMIN 100mg tablets	beta_blocker		
bd32.	TENORMIN 25mg/5mL syrup	beta_blocker		
bd33.	TENORMIN 5mg/10mL injection	beta_blocker		
bd34.	TENORMIN LS 50mg tablets	beta_blocker		
bd35.	ATENOLOL 50mg tablets	beta_blocker		
bd36.	ATENOLOL 100mg tablets	beta_blocker		
bd37.	*TENORMIN CCU PACK	beta_blocker		
bd38.	*BETA-ADALAT 50/20mg capsules	beta_blocker	calcium_channel_blocker	
bd39.	*TENIF 50/20mg capsules	beta_blocker	calcium_channel_blocker	
bd4 z.	BETAXOLOL HYDROCHLORIDE 20mg tablets	beta_blocker		
bd4..	BETAXOLOL HCL [B-BLOCKER]	beta_blocker		
bd41.	*KERLONE 20mg tablets	beta_blocker		
bd5 a.	TRANDATE 400mg tablets	beta_blocker		
bd5 b.	*TRANDATE 100mg/20mL injection	beta_blocker		
bd5 c.	LABETALOL HYDROCHLORIDE 50mg/10mL prefilled syringe	beta_blocker		
bd5 t.	*LABETALOL 100mg tablets	beta_blocker		
bd5 u.	*LABETALOL 200mg tablets	beta_blocker		
bd5 v.	LABETALOL 50mg tablets	beta_blocker		
bd5 w.	*LABETALOL 100mg tablets	beta_blocker		
bd5 x.	*LABETALOL 200mg tablets	beta_blocker		
bd5 y.	*LABETALOL 400mg tablets	beta_blocker		
bd5 z.	LABETALOL 100mg/20mL injection	beta_blocker		
bd5..	LABETALOL HYDROCHLORIDE	beta_blocker		
bd51.	LABETALOL 100mg tablets	beta_blocker		
bd52.	LABETALOL 200mg tablets	beta_blocker		
bd53.	LABETALOL 400mg tablets	beta_blocker		
bd54.	*LABROCOL 100mg tablets	beta_blocker		
bd55.	*LABROCOL 200mg tablets	beta_blocker		
bd56.	*LABROCOL 400mg tablets	beta_blocker		
bd57.	TRANDATE 50mg tablets	beta_blocker		
bd58.	TRANDATE 100mg tablets	beta_blocker		
bd59.	TRANDATE 200mg tablets	beta_blocker		
bd6 a.	*LOPRESOR 5mg/5mL injection	beta_blocker		
bd6 b.	LOPRESOR SR 200mg m/r tablets	beta_blocker		
bd6 c.	*ARBRALENE 50mg tablets	beta_blocker		
bd6 d.	*ARBRALENE 100mg tablets	beta_blocker		
bd6 e.	*TENSOMEX 100mg tablets	beta_blocker		
bd6 w.	METOPROLOL 100mg tablets	beta_blocker		
bd6 x.	METOPROLOL 50mg tablets	beta_blocker		
bd6 y.	METOPROLOL 5mg/5mL injection	beta_blocker		
bd6 z.	METOPROLOL 200mg m/r tablets	beta_blocker		
bd6..	METOPROLOL TARTRATE	beta_blocker		
bd61.	*BETALOC 50mg tablets	beta_blocker		
bd62.	*BETALOC 100mg tablets	beta_blocker		
bd63.	BETALOC 5mg/5mL injection	beta_blocker		
bd64.	BETALOC-SA DURULES 200mg m/r tablets	beta_blocker		
bd65.	LOPRESOR 50mg tablets	beta_blocker		
bd66.	LOPRESOR 100mg tablets	beta_blocker		
bd67.	*MEPRANIX 50mg tablets	beta_blocker		
bd68.	*MEPRANIX 100mg tablets	beta_blocker		
bd7 y.	*NADOLOL 40mg tablets	beta_blocker		
bd7 z.	NADOLOL 80mg tablets	beta_blocker		
bd7..	NADOLOL	beta_blocker		
bd71.	*CORGARD 40mg tablets	beta_blocker		
bd72.	CORGARD 80mg tablets	beta_blocker		
bd8 a.	*LARACOR 40mg tablets	beta_blocker		
bd8 b.	*LARACOR 80mg tablets	beta_blocker		
bd8 c.	*LARACOR 160mg tablets	beta_blocker		
bd8 d.	*SLOW-PREN 160mg m/r tablets	beta_blocker		
bd8 e.	SLOW-TRASICOR 160mg m/r tablets	beta_blocker		
bd8 f.	*TRASICOR 20mg tablets	beta_blocker		
bd8 g.	*TRASICOR 40mg tablets	beta_blocker		
bd8 h.	*TRASICOR 80mg tablets	beta_blocker		
bd8 i.	*TRASICOR 160mg tablets	beta_blocker		
bd8 j.	*TRASICOR 2mg injection	beta_blocker		
bd8 k.	*PARITANE 20mg tablets	beta_blocker		
bd8 l.	*PARITANE 40mg tablets	beta_blocker		
bd8 m.	*PARITANE 80mg tablets	beta_blocker		
bd8 n.	*PARITANE 160mg tablets	beta_blocker		
bd8 o.	*OXYPRENIX 160mg m/r tablets	beta_blocker		
bd8 u.	OXPRENOLOL 160mg m/r tablets	beta_blocker		
bd8..	OXPRENOLOL HYDROCHLORIDE	beta_blocker		
bd81.	OXPRENOLOL 20mg tablets	beta_blocker		
bd82.	OXPRENOLOL 40mg tablets	beta_blocker		
bd83.	OXPRENOLOL 80mg tablets	beta_blocker		
bd84.	OXPRENOLOL 160mg tablets	beta_blocker		
bd85.	*APSOLOX 20mg tablets	beta_blocker		
bd86.	*APSOLOX 40mg tablets	beta_blocker		
bd87.	*APSOLOX 80mg tablets	beta_blocker		
bd88.	*APSOLOX 160mg tablets	beta_blocker		
bd89.	*LARACOR 20mg tablets	beta_blocker		
bd9..	PENBUTOLOL SULPHATE[INGREDIENT]	beta_blocker		
bda y.	PINDOLOL 5mg tablets	beta_blocker		
bda z.	PINDOLOL 15mg tablets	beta_blocker		
bda..	PINDOLOL	beta_blocker		
bda1.	VISKEN 5mg tablets	beta_blocker		
bda2.	VISKEN 15mg tablets	beta_blocker		
bda3.	*BETADREN 5mg tablets	beta_blocker		
bda4.	*BETADREN 15mg tablets	beta_blocker		
bdb..	*PRACTOLOL [B-BLOCKER]	beta_blocker		
bdc s.	*SOTALOL 40mg/4mL injection	beta_blocker		
bdc u.	SOTALOL 40mg tablets	beta_blocker		
bdc v.	SOTALOL 80mg tablets	beta_blocker		
bdc w.	SOTALOL 200mg tablets	beta_blocker		
bdc x.	SOTALOL 160mg tablets	beta_blocker		
bdc y.	*SOTALOL 10mg/5mL injection	beta_blocker		
bdc z.	*SOTALOL 100mg/10mL injection	beta_blocker		
bdc..	SOTALOL HYDROCHLORIDE	beta_blocker		
bdc1.	*BETA-CARDONE 40mg tablets	beta_blocker		
bdc2.	BETA-CARDONE 80mg tablets	beta_blocker		
bdc3.	BETA-CARDONE 200mg tablets	beta_blocker		
bdc4.	SOTACOR 80mg tablets	beta_blocker		
bdc5.	*SOTACOR 160mg tablets	beta_blocker		
bdc6.	*SOTACOR 10mg/5mL injection	beta_blocker		
bdc7.	*SOTACOR 100mg/10mL injection	beta_blocker		
bdc8.	*SOTACOR 40mg/4mL injection	beta_blocker		
bdd z.	TIMOLOL 10mg tablets	beta_blocker		
bdd..	TIMOLOL MALEATE [B-BLOCKER]	beta_blocker		
bdd1.	*BETIM 10mg tablets	beta_blocker		
bdd2.	*BLOCADREN 10mg tablets	beta_blocker		
bde a.	*MODUCREN tablets	beta_blocker	thiazide_diuretic	
bde b.	PRESTIM tablets	beta_blocker	thiazide_diuretic	
bde c.	*PRESTIM FORTE tablets	beta_blocker	thiazide_diuretic	
bde d.	*SECADREX tablets	beta_blocker	thiazide_diuretic	
bde e.	*SOTAZIDE tablets	beta_blocker	thiazide_diuretic	
bde f.	*SPIROPROP tablets	beta_blocker		
bde g.	TENORET-50 tablets	beta_blocker	thiazide_diuretic	
bde h.	TENORETIC tablets	beta_blocker	thiazide_diuretic	
bde i.	*TOLERZIDE tablets	beta_blocker	thiazide_diuretic	
bde j.	*TRASIDREX tablets	beta_blocker	thiazide_diuretic	
bde k.	VISKALDIX tablets	beta_blocker	thiazide_diuretic	
bde l.	*CO-PRENOZIDE tablets	beta_blocker	thiazide_diuretic	
bde m.	CO-TENIDONE 50/12.5mg tablets	beta_blocker	thiazide_diuretic	
bde n.	CO-TENIDONE 100/25mg tablets	beta_blocker	thiazide_diuretic	
bde o.	ATENIXCO 50/12.5mg tablets	beta_blocker	thiazide_diuretic	
bde p.	*ATENIXCO 100/25mg tablets	beta_blocker	thiazide_diuretic	
bde q.	*TENCHLOR 50/12.5mg tablets	beta_blocker	thiazide_diuretic	
bde r.	*TENCHLOR 100/25mg tablets	beta_blocker	thiazide_diuretic	
bde s.	*BETA-ADALAT 50/20mg capsules	beta_blocker	calcium_channel_blocker	
bde t.	TENIF 50/20mg capsules	beta_blocker	calcium_channel_blocker	
bde u.	CO-PRENOZIDE 160/0.25mg m/r tablets	beta_blocker	thiazide_diuretic	
bde v.	PROPRANOLOL HCL+BENDROFLUAZIDE 80mg/2.5mg capsules	beta_blocker	thiazide_diuretic	
bde w.	PROPRANOLOL HCL+BENDROFLUAZIDE 160mg/5mg m/r capsules	beta_blocker	thiazide_diuretic	
bde x.	ACEBUTOLOL+HYDROCHLOROTHIAZIDE 200mg/12.5mg tablets	beta_blocker	thiazide_diuretic	
bde y.	ATENOLOL+CO-AMILOZIDE 50mg/2.5mg/25mg capsules	beta_blocker	thiazide_diuretic	
bde z.	ATENOLOL+NIFEDIPINE 50mg/20mg m/r capsules	beta_blocker	calcium_channel_blocker	
bde..	COMPOUND BETA-BLOCKERS	beta_blocker		
bde1.	*CO-BETALOC tablets	beta_blocker	thiazide_diuretic	
bde2.	*CO-BETALOC SA m/r tablets	beta_blocker	thiazide_diuretic	
bde3.	*CORGARETIC-40 tablets	beta_blocker	thiazide_diuretic	
bde4.	*CORGARETIC-80 tablets	beta_blocker	thiazide_diuretic	
bde5.	*INDERETIC capsules	beta_blocker	thiazide_diuretic	
bde6.	*INDEREX m/r capsules	beta_blocker	thiazide_diuretic	
bde7.	KALTEN capsules	beta_blocker	thiazide_diuretic	
bde8.	*LASIPRESSIN tablets	beta_blocker		
bde9.	*LOPRESORETIC tablets	beta_blocker	thiazide_diuretic	
bdeA.	METOPROLOL TART+HYDROCHLOROTHIAZIDE 100mg/12.5mg tablets	beta_blocker	thiazide_diuretic	
bdeB.	METOPROLOL TART+HYDROCHLOROTHIAZIDE 200mg/25mg m/r tablets	beta_blocker	thiazide_diuretic	
bdeC.	METOPROLOL TART+CHLORTHALIDONE 100mg/12.5mg tablets	beta_blocker	thiazide_diuretic	
bdeD.	NADOLOL+BENDROFLUMETHIAZIDE 40mg/5mg tablets	beta_blocker	thiazide_diuretic	
bdeE.	NADOLOL+BENDROFLUAZIDE 80mg/5mg tablets	beta_blocker	thiazide_diuretic	
bdeF.	PENBUTOLOL SULPHATE+FRUSEMIDE 40mg/20mg tablets	beta_blocker		
bdeG.	PINDOLOL+CLOPAMIDE 10mg/5mg tablets	beta_blocker	thiazide_diuretic	
bdeH.	SOTALOL HCL+HYDROCHLOROTHIAZIDE 160mg/25mg tablets	beta_blocker	thiazide_diuretic	
bdeJ.	SOTALOL HCL+HYDROCHLOROTHIAZIDE 80mg/12.5mg tablets	beta_blocker	thiazide_diuretic	
bdeK.	TIMOLOL MALEATE+CO-AMILOZIDE 10mg/2.5mg/25mg tablets	beta_blocker	thiazide_diuretic	
bdeL.	TIMOLOL MALEATE+BENDROFLUMETHIAZIDE 10mg/2.5mg tablets	beta_blocker	thiazide_diuretic	
